sfwnvk	1561	prod1561-shagovii-dvigatel-28byj-48-12v	28BYJ-48	3
w54f25	188	prod188-datchik-dima-mq-2	MQ-2	1
ar747p	безколекторний двигун	543|prod543-motor-a2212-930kv	645|prod645-motor-a2212-1000kv	5342|prod5342-motor-sunnysky-x2212-kv3000	4353|prod4353-shim-regylyator-shvidkosti-dvigyna-ccmhcn-dc-690v-15a-1000vt	5853|prod5853-sunnysky-x1306s-3100kv-brushless-motor-cw
nfka2d	JF-0530B	1113|prod1113-solenoid-12v-0-3a-jf-0530b
2g5zcs	вентилятор 5В	4186|prod4186-ventilyator-korpysnii-mx-6015-5v-3pin-60x60x15mm	6678|prod6678-ventilyator-korpysnii-mx-6015-5v-2-pin-60x60x15mm	216|prod216-shagovii-dvigatel-5v-28byj-48	4275|prod4275-ponijaushhii-dc-dc-preobrazovatel-na-5v-dc-mini560	3100|prod3100-nagryzochnii-rezistor-5v-1-3a-c-razemom-usb
666cx7	вологості ґрунту	4921|prod4921-analogovii-emkostnoi-datchik-vlajnosti-pochvi-gravity-ot-dfrobot	521|prod521-datchik-vlajnosti-pochvi-gigrometr	2755|prod2755-emkostnii-datchik-vlajnosti-pochvi	3255|prod3255-emkostnii-datchik-vlajnosti-pochvi-ot-dfrobot	7856|prod7856-nabir-dlya-avtomatichnogo-polivy-roslin-diy-flower-plant-watering-kit-vid-elecrow
g4z2gk	датчик дощу	562|prod562-datchik-dojdya-vlagi-snega	2237|prod2237-nabor-dlya-avtomaticheskogo-poliva-rastenii-ot-elecrow	8144|prod8144-startovii-komplekt-acebott-qe001-esp32-dlya-rozymnogo-domy-iot-z-arduino	686|prod686-shild-meteostanciya-ot-sparkfun	6193|prod6193-gravity-tipping-bucket-rainfall-sensor-i2c-uart
wzvhz6	GPS модуль	3967|prod3967-gps-modyl-neo-m8n-s-kompasom-i-korpysom-dlya-pixhawk	1152|prod1152-gps-modyl-ublox-neo-m8n-s-kompasom	1248|prod1248-gps-modyl-ublox-neo-m8n-s-kompasom-korpysom-i-machtoi	5017|prod5017-neo-6m-gps-modyl-gy-gps-6mv2-neo6mv2	6083|prod6083-radiolink-m10n-gps-se100-module
yxs4q5	ESP32-CAM	6898|prod6898-plata-adapter-dlya-esp32-cam-ch340-type-c-v1	8809|prod8809-modyl-wi-fi-esp32-cam-z-kamerou-2mp	4501|prod4501-modyl-kameri-2mp-ov2640-dlya-esp32-cam-fov160	4514|prod4514-modyl-kameri-2mp-ov2640-dlya-esp32-cam-fov70	3458|prod3458-modyl-wi-fi-esp32-s-kameroi-2mp
fb7rbz	світлодіод 5мм	4521|prod4521-derjatel-svetodiodov-5mm-plastikovii-1sht	288|prod288-svetodiod-5mm-belii-yltrayarkii	4299|prod4299-nabir-svitlodiodiv-5mm-500-sht-v-organaizeri	452|prod452-Svetodiod_5mm_sinii	450|prod450-Svetodiod_5mm_zelenii
q7ed7c	KY-012	3470|prod3470-modyl-s-dinamikom-ky-012-aktivnii	1131|prod1131-nabor-datchikov-37v-1-dlya-arduino	4051|prod4051-nabor-datchikov-37-v-1-dlya-arduino-v-plastikovom-organaizere
3w42yq	KY-006	1153|prod1153-modyl-s-dinamikom-ky-006-passivnii	1131|prod1131-nabor-datchikov-37v-1-dlya-arduino	4051|prod4051-nabor-datchikov-37-v-1-dlya-arduino-v-plastikovom-organaizere
p8ze7n	семисегментний індикатор	1705|prod1705-posledovatelnii-4-razryadnii-semisegmentnii-led-indikator-s-isp-interfeisom-na-74hc595	2745|prod2745-mikroshema-max7219-draiver-svetodiodov	3230|prod3230-7-mi-segmentnii-svetodiodnii-indikator-0-56-3-razryada-obshhii-anod-zelenii	5313|prod5313-7-mi-segmentnii-svetodiodnii-indikator-0-56-3-razryada-obshhii-katod-zelenii	290|prod290-7-segmentnii-svetodiodnii-indikator-0-56-2-razryada-obshhii-katod-zelenii
66j48p	тактова кнопка	6167|prod6167-taktova-knopka-smd-4pin-6h6x12mm-shtok-8-5mm	6159|prod6159-taktova-knopka-smd-4pin-6h6x7-5mm-shtok-4-0mm	6162|prod6162-taktova-knopka-smd-4pin-6h6x5-0mm-shtok-1-5mm	6164|prod6164-taktova-knopka-smd-4pin-6h6x8-0mm-shtok-4-5mm	6158|prod6158-taktova-knopka-smd-4pin-6h6x4-3mm-shtok-0-8mm
97hvjp	KY-040	1223|prod1223-modyl-enkoder	803|prod803-enkoder-ec11-z-knopkou-20mm	1131|prod1131-nabor-datchikov-37v-1-dlya-arduino	5231|prod5231-modyl-ky-040-enkodera-ec11-bez-rezbi	4051|prod4051-nabor-datchikov-37-v-1-dlya-arduino-v-plastikovom-organaizere
r8tg7n	RC522	649|prod649-rfid-modyl-rc522-s-kartochkoi-dostypa-dlya-arduino	488|prod488-mifare-one-rfid-karta-8kb-13-56mgc	1530|prod1530-rfid-brelok-13-56mgc	3183|prod3183-super-mega-2560-starter-kit-for-arduino-1602lcd-rfid-relay-motor-buzzer	3531|prod3531-startovii-nabor-ultimate-starter-learning-kit-ks0221-dlya-raspberry-pi-ot-keyestudio
g7g6td	брелок RFID	3183|prod3183-super-mega-2560-starter-kit-for-arduino-1602lcd-rfid-relay-motor-buzzer	1530|prod1530-rfid-brelok-13-56mgc-plastikovii-1sht	7891|prod7891-rfid-brelok-em4100-125kgc-tilki-chitannya-fiks-kod	259|prod259-rfid-modyl-rdm6300-125kgc	649|prod649-rfid-modyl-rc522-s-kartochkoi-dostypa-dlya-arduino
vcmmhg	HC-05	999|prod999-bluetooth-modyl-hc-05	241|prod241-bluetooth-modyl-hc-06	1039|prod1039-bluetooth-hc-05	3193|prod3193-bluetooth-hc-05-master--slave-klonirovannii-mac	271|prod271-bluetooth-shield-v2-2-master--slave
wp6xq3	датчик перешкод	2621|prod2621-modyl-lazernogo-datchika-prepyatstviya-ot-waveshare	2290|prod2290-modyl-datchika-shvidkosti-obertannya-hc-020k-z-optichnim-enkoderom	2083|prod2083-optichnii-datchik-shvidkosti-kincevii-vimikach	224|prod224-infrakrasnii-datchik-rasstoyaniya-3-80-sm	5261|prod5261-modyl-datchika-molnii-as3935
mde6mj	фоторезистор	5286|prod5286-datchik-osvitlenosti-fotorezistor-gm5528-20-kom-1sht	184|prod184-datchik-osvitlenosti-fotorezistor-gl5516-10-kom-1sht	6674|prod6674-svitlodiodnii-kyb-rgb-4x4x4-vid-keyestudio-golosove-keryvannya-pidtrimka-c-scratch	1839|prod1839-konstryktor-4-optoelektronika-iz-serii-prakticheskaya-elektronika	1836|prod1836-konstryktor-1-bazovii-iz-serii-prakticheskaya-elektronika
rkpnz2	датчик звуку	2619|prod2619-modyl-datchika-zvyka	3952|prod3952-datchik-zvyka-modyl-mikrofona-max4466	182|prod182-yltrazvykovoi-datchik-rasstoyaniya-hc-sr04	4082|prod4082-avtomaticheskii-vikluchatel-s-datchikom-osveshheniya-i-shyma-tcz3700	1211|prod1211-yniversalnii-zvykovii-datchik-ky-037-analog-ta-cifra
qjc6he	датчик удару	5344|prod5344-datchik-ydara-pryjinnii-1sht	3603|prod3603-modyl-datchika-ydara-801s	5261|prod5261-modyl-datchika-molnii-as3935	8249|prod8249-datchik-viyavlennya-ryhy-c1001-mmwave-60ggc-dlya-arduinoesp32microbit-11-metriv	1131|prod1131-nabor-datchikov-37v-1-dlya-arduino
a3k774	геркон	2988|prod2988-gerkon-2-kontaktnii	2989|prod2989-gerkon-3-kontaktnii	1837|prod1837-konstryktor-2-perekluchateli-iz-serii-prakticheskaya-elektronika	588|prod588-datchik-otkritiya-dverei-mc-38	5424|prod5424-sunfounder-3-in-1-starter-kit-for-arduino-uno-intermediate-lever
4852tg	датчик полум'я	1118|prod1118-modyl-datchika-polymya	3532|prod3532-nabor-datchikov-keyestudio-sensor-kit-37-in-1-ks0068-dlya-arduino-v-organaizere	3280|prod3280-KS0398-arduino-easy-plug-ultimate-starter-kit	3183|prod3183-super-mega-2560-starter-kit-for-arduino-1602lcd-rfid-relay-motor-buzzer	8634|prod8634-sunfounder-universal-maker-sensor-kit-compatible-with-arduino-mega-2560uno-r3r4-minima-wifi-nano-raspberry-pi-54b3bzero-2-w-pico-w-esp32-c-python-micropython-beginners-engineers
gb63b8	джойстик	194|prod194-djoistik-dlya-arduino	7641|prod7641-shild-djoistika-ta-igrovoi-klaviatyri-keyestudio-rpi-joystick-shield-dlya-raspberry-pi	5756|prod5756-shild-displeya-ta-djoistika-pico-lcd-1-3-dlya-raspberry-pi-pico	7826|prod7826-keyestudio-ps2-joystick-module-compatible-with-arduino	814|prod814-djoistik-input-shield-dlya-ardyino
ran246	мембранна клавіатура	2210|prod2210-20-ti-knopochnaya-membrannaya-klaviatyra	1133|prod1133-12-ti-knopochnaya-klaviatyra	167|prod167-16-ti-knopochnaya-membrannaya-klaviatyra	1197|prod1197-sensornaya-16-ti-knopochnaya-klaviatyra	1117|prod1117-nabor-dlya-nachinaushhih-robotale-2
j6qe9t	ІЧ приймач	2307|prod2307-ik-pylt-ypravleniya-i-ik-priemnik-dlya-ardyino	1228|prod1228-yniversalnii-infrakrasnii-priemnik	6623|prod6623-modyl-priimacha-ich-viprominuvannya-vs1838	7644|prod7644-shild-keryvannya-dvigynami-raspberry-pi-l298p-motor-drive-shield-vid-keyestudio	7821|prod7821-plata-rozshirennya-z-draiverom-dvigyna-drv8833pwp-vid-keyestudio
